filter, lambda_eff (um), Solar flux density (erg s-1 cm-2 um-1)
brgamma   , 2.15664325845, 87557.6495682
feii      , 1.64755544604, 223565.094687
h         , 1.62068274317, 246125.423996
hcont     , 1.58419036132, 250429.116639
j         , 1.24639078938, 448741.762904
k         , 2.19074477016, 83433.5486692
kcont     , 2.28540852759, 70709.3980459
kp        , 2.12145324056, 95210.9824577
ks        , 2.13230622077, 91031.6184438
lp        , 3.77663165123, 11405.2184778
ms        , 4.6694320376, 4334.49865783
he1a      , 1.0847, 616520.0
ch4s      , 1.5923, 252760.0
ch4_short , 1.5923, 252760.0
pabeta    , 1.2903, 414890.0
