filter, lambda_eff (um), Vega flux density (erg s-1 cm-2 um-1)
brgamma   , 2.15664325845, 3.98748987955e-07
feii      , 1.64755544604, 1.08022793701e-06
h         , 1.62068274317, 1.14942928869e-06
hcont     , 1.58419036132, 1.22962415963e-06
j         , 1.24639078938, 2.94212220351e-06
k         , 2.19074477016, 3.93064045068e-07
kcont     , 2.28540852759, 3.33855350796e-07
kp        , 2.12145324056, 4.49379662143e-07
ks        , 2.13230622077, 4.29192389321e-07
lp        , 3.77663165123, 4.78022411844e-08
ms        , 4.6694320376, 1.98969571679e-08
pah       , 3.3245429366, 7.7562715083e-08
br_alpha  , 4.0741298746, 3.42874864578e-08
bra_cont  , 4.00564002359, 3.65794564225e-08
h2o_ice   , 3.09276817551, 1.03973720597e-07
ch4_short , 1.61146496182, 1.1776359719e-06
pabeta    , 1.29400267969, 2.52817169983e-06
he1_a     , 1.09102854267, 4.39395914111e-06
