Wavelength,Transmission,,,
2.100783,-0.0001356108,,,
2.100784,0.0691163,,,
2.100879,0.06909986,,,
2.100974,0.06908342,,,
2.101069,0.06906698,,,
2.101164,0.06905055,,,
2.101259,0.06903411,,,
2.101354,0.06901767,,,
2.101449,0.06900123,,,
2.101544,0.06898479,,,
2.101639,0.06896836,,,
2.101734,0.06895192,,,
2.101829,0.06893548,,,
2.101924,0.06891904,,,
2.102019,0.06890261,,,
2.102113,0.06888617,,,
2.102208,0.06886973,,,
2.102303,0.06885329,,,
2.102398,0.06883686,,,
2.102493,0.06882042,,,
2.102588,0.06880398,,,
2.102683,0.06878754,,,
2.102778,0.0687711,,,
2.102873,0.06875467,,,
2.102968,0.06873823,,,
2.103063,0.06872179,,,
2.103158,0.06870535,,,
2.103253,0.06868892,,,
2.103348,0.06867248,,,
2.103443,0.06865604,,,
2.103538,0.0686396,,,
2.103633,0.06862317,,,
2.103728,0.06860673,,,
2.103822,0.06859029,,,
2.103917,0.06857385,,,
2.104012,0.06855742,,,
2.104107,0.06854098,,,
2.104202,0.06852454,,,
2.104297,0.0685081,,,
2.104392,0.06849166,,,
2.104487,0.06847523,,,
2.104582,0.06845879,,,
2.104677,0.06844235,,,
2.104772,0.06842591,,,
2.104867,0.06840948,,,
2.104962,0.06839304,,,
2.105057,0.0683766,,,
2.105152,0.06836016,,,
2.105247,0.06834373,,,
2.105342,0.06832729,,,
2.105437,0.06831085,,,
2.105531,0.06829441,,,
2.105626,0.06827797,,,
2.105721,0.06826154,,,
2.105816,0.0682451,,,
2.105911,0.06822866,,,
2.106006,0.06821222,,,
2.106101,0.06819579,,,
2.106196,0.06817935,,,
2.106291,0.06816291,,,
2.106386,0.06814647,,,
2.106481,0.06813004,,,
2.106576,0.0681136,,,
2.106671,0.06809716,,,
2.106766,0.06808072,,,
2.106861,0.06806429,,,
2.106956,0.06804785,,,
2.107051,0.06803141,,,
2.107146,0.06801497,,,
2.10724,0.06799853,,,
2.107335,0.0679821,,,
2.10743,0.06796566,,,
2.107525,0.06794922,,,
2.10762,0.06793278,,,
2.107715,0.06791635,,,
2.10781,0.06789991,,,
2.107905,0.06788347,,,
2.108,0.06786703,,,
2.108095,0.0678506,,,
2.108096,0.1371025,,,
2.108191,0.1370861,,,
2.108285,0.06781772,,,
2.10838,0.06780128,,,
2.108475,0.06778484,,,
2.10857,0.06776841,,,
2.108665,0.06775197,,,
2.10876,0.06773553,,,
2.108761,0.1369874,,,
2.108855,0.06771909,,,
2.108949,0.06770266,,,
2.109044,0.06768622,,,
2.109139,0.06766978,,,
2.109234,0.06765334,,,
2.109329,0.06763691,,,
2.109424,0.06762047,,,
2.109519,0.06760403,,,
2.109614,0.06758759,,,
2.109709,0.06757115,,,
2.109804,0.06755472,,,
2.109899,0.06753828,,,
2.109994,0.06752184,,,
2.110089,0.0675054,,,
2.110184,0.06748897,,,
2.110279,0.06747253,,,
2.110374,0.06745609,,,
2.110375,0.136708,,,
2.11047,0.1366916,,,
2.110564,0.06742322,,,
2.110658,0.06740678,,,
2.110753,0.06739034,,,
2.110848,0.0673739,,,
2.110943,0.06735747,,,
2.111038,0.06734103,,,
2.111133,0.06732459,,,
2.111228,0.06730815,,,
2.111323,0.06729171,,,
2.111418,0.06727528,,,
2.111419,0.1365272,,,
2.111514,0.1365107,,,
2.111609,0.1364943,,,
2.111704,0.1364779,,,
2.111798,0.06720953,,,
2.111893,0.06719309,,,
2.111988,0.06717665,,,
2.112083,0.06716021,,,
2.112178,0.06714378,,,
2.112179,0.1363957,,,
2.112273,0.1363792,,,
2.112367,0.0671109,,,
2.112462,0.06709446,,,
2.112557,0.06707802,,,
2.112652,0.06706159,,,
2.112747,0.06704515,,,
2.112842,0.06702871,,,
2.112937,0.06701227,,,
2.113032,0.06699584,,,
2.113127,0.0669794,,,
2.113222,0.06696296,,,
2.113317,0.06694652,,,
2.113412,0.06693009,,,
2.113507,0.06691365,,,
2.113602,0.06689721,,,
2.113697,0.06688077,,,
2.113792,0.06686434,,,
2.113887,0.0668479,,,
2.113981,0.06683146,,,
2.114076,0.06681502,,,
2.114077,0.1360669,,,
2.114172,0.1360505,,,
2.114267,0.1360341,,,
2.114362,0.1360176,,,
2.114457,0.1360012,,,
2.114551,0.06673283,,,
2.114646,0.0667164,,,
2.114741,0.06669996,,,
2.114742,0.1359519,,,
2.114837,0.1359354,,,
2.114932,0.135919,,,
2.115027,0.1359026,,,
2.115122,0.1358861,,,
2.115217,0.1358697,,,
2.115311,0.06660133,,,
2.115406,0.06658489,,,
2.115501,0.06656846,,,
2.115596,0.06655202,,,
2.11569,0.06653558,,,
2.115785,0.06651914,,,
2.11588,0.06650271,,,
2.115975,0.06648627,,,
2.11607,0.06646983,,,
2.116165,0.06645339,,,
2.11626,0.06643696,,,
2.116261,0.1356889,,,
2.116356,0.1356724,,,
2.116451,0.135656,,,
2.116545,0.06638764,,,
2.116546,0.1356395,,,
2.116641,0.1356231,,,
2.116736,0.1356067,,,
2.116831,0.1355902,,,
2.116926,0.1355738,,,
2.117021,0.1355574,,,
2.117115,0.06628902,,,
2.11721,0.06627258,,,
2.117305,0.06625614,,,
2.117399,0.0662397,,,
2.1174,0.1354916,,,
2.117494,0.06622327,,,
2.117589,0.06620683,,,
2.117684,0.06619039,,,
2.117779,0.06617395,,,
2.11778,0.1354259,,,
2.117875,0.1354094,,,
2.117969,0.06614108,,,
2.118064,0.06612464,,,
2.118159,0.0661082,,,
2.118254,0.06609176,,,
2.118349,0.06607533,,,
2.118444,0.06605889,,,
2.118539,0.06604245,,,
2.118634,0.06602601,,,
2.118729,0.06600958,,,
2.118824,0.06599314,,,
2.118919,0.0659767,,,
2.119014,0.06596026,,,
2.119015,0.1352122,,,
2.119109,0.1351957,,,
2.119204,0.1351793,,,
2.119299,0.1351629,,,
2.119394,0.1351464,,,
2.119488,0.06587807,,,
2.119583,0.06586164,,,
2.119678,0.0658452,,,
2.119773,0.06582876,,,
2.119868,0.06581232,,,
2.119963,0.06579589,,,
2.120058,0.06577945,,,
2.120153,0.06576301,,,
2.120248,0.06574657,,,
2.120343,0.06573014,,,
2.120438,0.0657137,,,
2.120533,0.06569726,,,
2.120628,0.06568082,,,
2.120723,0.06566439,,,
2.120817,0.06564795,,,
2.120912,0.06563151,,,
2.121007,0.06561507,,,
2.121008,0.134867,,,
2.121103,0.1348505,,,
2.121198,0.1348341,,,
2.121293,0.1348177,,,
2.121388,0.1348012,,,
2.121483,0.1347848,,,
2.121578,0.1347684,,,
2.121673,0.1347519,,,
2.121768,0.1347355,,,
2.121863,0.134719,,,
2.121958,0.1347026,,,
2.122053,0.1346862,,,
2.122148,0.1346697,,,
2.122243,0.1346533,,,
2.122338,0.1346369,,,
2.122432,0.1346204,,,
2.122527,0.134604,,,
2.122622,0.1345875,,,
2.122717,0.1345711,,,
2.122812,0.1345547,,,
2.122907,0.1345382,,,
2.123002,0.1345218,,,
2.123097,0.1345054,,,
2.123192,0.1344889,,,
2.123287,0.1344725,,,
2.123382,0.134456,,,
2.123477,0.1344396,,,
2.123572,0.1344232,,,
2.123667,0.1344067,,,
2.123762,0.1343903,,,
2.123857,0.1343738,,,
2.123952,0.1343574,,,
2.124047,0.134341,,,
2.124141,0.1343245,,,
2.124236,0.1343081,,,
2.124331,0.1342917,,,
2.124426,0.1342752,,,
2.124521,0.1342588,,,
2.124616,0.1342423,,,
2.124711,0.1342259,,,
2.124806,0.1342095,,,
2.124901,0.134193,,,
2.124996,0.1341766,,,
2.125091,0.1341602,,,
2.125186,0.1341437,,,
2.125281,0.1341273,,,
2.125376,0.1341108,,,
2.125471,0.1340944,,,
2.125566,0.134078,,,
2.125661,0.1340615,,,
2.125756,0.1340451,,,
2.12585,0.1340287,,,
2.125945,0.1340122,,,
2.12604,0.1339958,,,
2.126135,0.1339793,,,
2.12623,0.1339629,,,
2.126325,0.1339465,,,
2.12642,0.13393,,,
2.126515,0.1339136,,,
2.12661,0.1338972,,,
2.126705,0.1338807,,,
2.1268,0.1338643,,,
2.126895,0.1338478,,,
2.12699,0.1338314,,,
2.127085,0.133815,,,
2.12718,0.1337985,,,
2.127275,0.1337821,,,
2.12737,0.1337657,,,
2.127371,0.2030176,,,
2.127466,0.2030011,,,
2.12756,0.2029847,,,
2.127655,0.2029682,,,
2.12775,0.2029518,,,
2.127845,0.2029354,,,
2.12794,0.2029189,,,
2.128035,0.2029025,,,
2.12813,0.2028861,,,
2.128225,0.2028696,,,
2.12832,0.2028532,,,
2.128415,0.2028367,,,
2.12851,0.2028203,,,
2.128605,0.2028039,,,
2.1287,0.2027874,,,
2.128795,0.202771,,,
2.12889,0.2027546,,,
2.128985,0.2027381,,,
2.12908,0.2027217,,,
2.129174,0.2027052,,,
2.129175,0.2719572,,,
2.12927,0.2719407,,,
2.129365,0.2719243,,,
2.12946,0.2719078,,,
2.129555,0.2718914,,,
2.129556,0.3411433,,,
2.129651,0.3411269,,,
2.129746,0.3411104,,,
2.129841,0.341094,,,
2.129936,0.3410776,,,
2.130031,0.3410611,,,
2.130126,0.3410447,,,
2.130221,0.3410282,,,
2.130316,0.3410118,,,
2.130411,0.3409954,,,
2.130506,0.3409789,,,
2.130601,0.3409625,,,
2.130696,0.3409461,,,
2.130791,0.3409296,,,
2.130885,0.3409132,,,
2.13098,0.3408967,,,
2.131075,0.3408803,,,
2.13117,0.3408639,,,
2.131265,0.3408474,,,
2.13136,0.340831,,,
2.131455,0.3408146,,,
2.13155,0.3407981,,,
2.131551,0.41005,,,
2.131646,0.4100336,,,
2.131741,0.4100171,,,
2.131836,0.4100007,,,
2.131931,0.4099843,,,
2.132026,0.4099678,,,
2.132121,0.4099514,,,
2.132216,0.409935,,,
2.132217,0.4791869,,,
2.132312,0.4791704,,,
2.132407,0.479154,,,
2.132501,0.4791376,,,
2.132596,0.4791211,,,
2.132691,0.4791047,,,
2.132786,0.4790882,,,
2.132881,0.4790718,,,
2.132976,0.4790554,,,
2.133071,0.4790389,,,
2.133166,0.4790225,,,
2.133167,0.5482744,,,
2.133262,0.548258,,,
2.133357,0.5482415,,,
2.133452,0.5482251,,,
2.133547,0.5482086,,,
