Wavelength,Transmission,,,
1.607904,0.0344474,,,
1.608006,0.03437028,,,
1.608108,0.03429316,,,
1.608209,0.03421604,,,
1.608311,0.03413891,,,
1.608413,0.03406179,,,
1.608514,0.03398467,,,
1.608616,0.03390755,,,
1.608718,0.03383043,,,
1.608819,0.03375331,,,
1.608921,0.03367619,,,
1.609023,0.03359907,,,
1.609125,0.03352195,,,
1.609226,0.03344482,,,
1.609328,0.0333677,,,
1.60943,0.03329058,,,
1.609531,0.03321346,,,
1.609633,0.03313634,,,
1.609735,0.03305922,,,
1.609837,0.0329821,,,
1.609837,0.1037535,,,
1.609938,0.1036764,,,
1.61004,0.1035993,,,
1.610142,0.1035221,,,
1.610243,0.103445,,,
1.610345,0.1033679,,,
1.610447,0.03251937,,,
1.610548,0.03244225,,,
1.61065,0.03236513,,,
1.610752,0.03228801,,,
1.610854,0.03221089,,,
1.610955,0.03213377,,,
1.611057,0.03205665,,,
1.611159,0.03197952,,,
1.61126,0.0319024,,,
1.611362,0.03182528,,,
1.611464,0.03174816,,,
1.611566,0.03167104,,,
1.611667,0.03159392,,,
1.611769,0.0315168,,,
1.611871,0.03143968,,,
1.611972,0.03136256,,,
1.612074,0.03128544,,,
1.612176,0.03120831,,,
1.612278,0.03113119,,,
1.612379,0.03105407,,,
1.612481,0.03097695,,,
1.612583,0.03089983,,,
1.612684,0.03082271,,,
1.612786,0.03074559,,,
1.612888,0.03066847,,,
1.612989,0.03059135,,,
1.613091,0.03051423,,,
1.613193,0.0304371,,,
1.613295,0.03035998,,,
1.613396,0.03028286,,,
1.613498,0.03020574,,,
1.6136,0.03012862,,,
1.613701,0.0300515,,,
1.613803,0.02997438,,,
1.613905,0.02989726,,,
1.614007,0.02982014,,,
1.614108,0.02974301,,,
1.61421,0.02966589,,,
1.614312,0.02958877,,,
1.614413,0.02951165,,,
1.614515,0.02943453,,,
1.614617,0.02935741,,,
1.614718,0.02928029,,,
1.61482,0.02920317,,,
1.614922,0.02912605,,,
1.615024,0.02904893,,,
1.615125,0.0289718,,,
1.615227,0.02889468,,,
1.615329,0.02881756,,,
1.61543,0.02874044,,,
1.61543,0.09951185,,,
1.615532,0.09943473,,,
1.615634,0.09935761,,,
1.615736,0.09928049,,,
1.615837,0.09920337,,,
1.615939,0.09912624,,,
1.616041,0.09904912,,,
1.616142,0.098972,,,
1.616244,0.09889488,,,
1.616346,0.09881776,,,
1.616448,0.09874064,,,
1.616549,0.02789211,,,
1.616651,0.02781499,,,
1.616753,0.02773787,,,
1.616854,0.02766075,,,
1.616956,0.02758363,,,
1.616956,0.09835503,,,
1.617058,0.09827791,,,
1.617159,0.02742938,,,
1.617159,0.09820079,,,
1.617261,0.09812367,,,
1.617363,0.09804655,,,
1.617465,0.09796943,,,
1.617566,0.09789231,,,
1.617668,0.02704378,,,
1.61777,0.02696666,,,
1.617871,0.02688954,,,
1.617973,0.02681242,,,
1.618075,0.02673529,,,
1.618177,0.02665817,,,
1.618278,0.02658105,,,
1.618278,0.09735246,,,
1.61838,0.09727534,,,
1.618482,0.09719822,,,
1.618583,0.0971211,,,
1.618685,0.09704398,,,
1.618787,0.09696686,,,
1.618888,0.09688973,,,
1.61899,0.09681261,,,
